TWOU
MMM
ABT
ABBV
ABMD
ACHC
ACN
ATVI
AYI
ADNT
ADBE
ADT
AAP
AMD
ACM
AES
AMG
AFL
AGCO
A
AGIO
AGNC
AL
APD
AKAM
ALK
ALB
AA
ARE
ALXN
ALGN
ALKS
Y
ALLE
AGN
ADS
LNT
ALSN
ALL
ALLY
ALNY
GOOGL
GOOG
MO
AMZN
AMCX
DOX
UHAL
AEE
AAL
ACC
AEP
AXP
AFG
AMH
AIG
ANAT
AMT
AWK
AMP
ABC
AME
AMGN
APH
ADI
NLY
ANSS
AR
ANTM
AON
APA
AIV
APY
APLE
AAPL
AMAT
ATR
APTV
WTR
ARMK
ACGL
ADM
ARD
ANET
AWI
ARW
ASH
AZPN
ASB
AIZ
AGO
T
ATH
TEAM
ATO
ADSK
ADP
AN
AZO
AVB
AGR
AVY
AVT
EQH
AXTA
AXS
BHGE
BLL
BAC
BOH
BK
OZK
BKU
BAX
BBT
BDX
WRB
BRK.B
BERY
BBY
BYND
BGCP
BIIB
BMRN
BIO
TECH
BKI
BLK
HRB
BLUE
BA
BOKF
BKNG
BAH
BWA
BSX
BDN
BFAM
BHF
BMY
BRX
AVGO
BR
BPR
BRO
BFA
BFB
BRKR
BC
BG
BURL
BWXT
CHRW
CABO
CBT
COG
CACI
CDNS
CZR
CPT
CPB
CMD
COF
CAH
CSL
KMX
CCL
CRI
CASY
CTLT
CAT
CBOE
CBRE
CBS
CDK
CDW
CE
CELG
CNC
CDEV
CNP
CTL
CDAY
BXP
CF
CRL
CHTR
CHE
LNG
CHK
CVX
CIM
CMG
CHH
CB
CHD
CI
XEC
CINF
CNK
CTAS
CSCO
CIT
C
CFG
CTXS
CLH
CLX
CME
CMS
CNA
CNX
KO
CGNX
CTSH
COHR
CFX
CL
CLNY
CXP
COLM
CMCSA
CMA
CBSH
COMM
CAG
CXO
CNDT
COP
ED
STZ
CERN
CPA
CPRT
CLGX
COR
GLW
OFC
CSGP
COST
COTY
CR
CACC
CCI
CCK
CSX
CUBE
CFR
CMI
CW
CVS
CY
CONE
DHI
DHR
DRI
DVA
SITC
DE
DELL
DAL
XRAY
DVN
DXCM
FANG
DKS
DLR
DFS
DISCA
DISCK
DISH
DIS
DOCU
DLB
DG
DLTR
D
DPZ
CLR
COO
DEI
DOV
DD
DPS
DTE
DUK
DRE
DNB
DNKN
DXC
ETFC
EXP
EWBC
EMN
ETN
EV
EBAY
SATS
ECL
EIX
EW
EA
EMR
ESRT
EHC
EGN
ENR
ETR
EVHC
EOG
EPAM
EPR
EQT
EFX
EQIX
EQC
ELS
EQR
ERIE
ESS
EL
EEFT
EVR
RE
EVRG
ES
UFS
DCI
EXPE
EXPD
STAY
EXR
XOG
XOM
FFIV
FB
FDS
FICO
FAST
FRT
FDX
FIS
FITB
FEYE
FAF
FCNCA
FDC
FHB
FHN
FRC
FSLR
FE
FISV
FLT
FLIR
FND
FLO
FLS
FLR
FMC
FNB
FNF
FL
F
FTNT
FTV
FBHS
FOXA
FOX
BEN
FCX
AJG
GLPI
GPS
EXAS
EXEL
EXC
GTES
GLIBA
GD
GE
GIS
GM
GWR
G
GNTX
GPC
GILD
GPN
GDDY
GS
GT
GRA
GGG
EAF
GHC
GWW
LOPE
GPK
GRUB
GWRE
HAIN
HAL
HBI
THG
HOG
HIG
HAS
HE
HCA
HCP
HDS
HTA
HEI.A
HEI
HP
JKHY
HLF
HSY
HES
GDI
GRMN
IT
HGV
HLT
HFC
HOLX
HD
HON
HRL
HPT
HST
HHC
HPQ
HUBB
HPP
HUM
HBAN
HII
HUN
H
IAC
ICUI
IEX
IDXX
INFO
ITW
ILMN
INCY
IR
INGR
PODD
IART
INTC
IBKR
ICE
IGT
IP
IPG
IBM
IFF
INTU
ISRG
IVZ
INVH
IONS
IPGP
IQV
HPE
HXL
HIW
HRC
JAZZ
JBHT
JBGS
JEF
JBLU
JNJ
JCI
JLL
JPM
JNPR
KSU
KAR
K
KEY
KEYS
KRC
KMB
KIM
KMI
KEX
KLAC
KNX
KSS
KOS
KR
LB
LHX
LH
LRCX
LAMR
LW
LSTR
LVS
LAZ
LEA
LM
LEG
LDOS
LEN
LEN.B
LII
LBRDA
LBRDK
FWONA
IRM
ITT
JBL
JEC
LLY
LECO
LNC
LGF.A
LGF.B
LFUS
LYV
LKQ
LMT
L
LOGM
LOW
LPLA
LULU
LYFT
LYB
MTB
MAC
MIC
M
MSG
MANH
MAN
MRO
MPC
MKL
MKTX
MAR
MMC
MLM
MRVL
MAS
MASI
MA
MTCH
MAT
MXIM
MKC
MCD
MCK
MDU
MPW
MD
MDT
MRK
FWONK
LPT
LSXMA
LSXMK
LSI
CPRI
MIK
MCHP
MU
MSFT
MAA
MIDD
MKSI
MHK
MOH
TAP
MDLZ
MPWR
MNST
MCO
MS
MORN
MOS
MSI
MSM
MSCI
MUR
MYL
NBR
NDAQ
NFG
NATI
NOV
NNN
NAVI
NCR
NKTR
NTAP
NFLX
NBIX
NRZ
NYCB
NWL
NEU
NEM
NWSA
NWS
MCY
MET
MTD
MFA
MGM
JWN
NSC
NTRS
NOC
NCLH
NRG
NUS
NUAN
NUE
NTNX
NVT
NVDA
NVR
NXPI
ORLY
OXY
OGE
OKTA
ODFL
ORI
OLN
OHI
OMC
ON
OMF
OKE
ORCL
OSK
OUT
OC
OI
PCAR
PKG
PACW
PANW
PGRE
PK
PH
PE
PTEN
PAYX
PAYC
PYPL
NEE
NLSN
NKE
NI
NBL
NDSN
PEP
PKI
PRGO
PFE
PCG
PM
PSX
PPC
PNFP
PF
PNW
PXD
ESI
PNC
PII
POOL
BPOP
POST
PPG
PPL
PRAH
PINC
TROW
PFG
PG
PGR
PLD
PFPT
PB
PRU
PTC
PSA
PEG
PHM
PSTG
PVH
QGEN
QRVO
QCOM
PWR
PBF
PEGA
PAG
PNR
PEN
PBCT
RLGY
RP
O
RBC
REG
REGN
RF
RGA
RS
RNR
RSG
RMD
RPAI
RNG
RHI
ROK
ROL
ROP
ROST
RCL
RGLD
RES
RPM
RSPP
R
SPGI
SABR
SAGE
CRM
SC
SRPT
SBAC
HSIC
SLB
SNDR
SCHW
SMG
SEB
SEE
DGX
QRTEA
RL
RRC
RJF
RYN
RTN
NOW
SHW
SBNY
SLGN
SPG
SIRI
SIX
SKX
SWKS
SLG
SLM
SM
AOS
SJM
SNA
SON
SO
SCCO
LUV
SPB
SPR
SRC
SPLK
S
SFM
SQ
SSNC
SWK
SBUX
STWD
STT
STLD
SRCL
STE
STL
STOR
SYK
SUI
STI
SIVB
SWCH
SGEN
SEIC
SRE
SNH
ST
SCI
SERV
TPR
TRGP
TGT
TCO
TCF
AMTD
TDY
TFX
TDS
TPX
TDC
TER
TEX
TSRO
TSLA
TCBI
TXN
TXT
TFSL
CC
KHC
WEN
TMO
THO
TIF
TKR
TJX
TOL
TMK
TTC
TSCO
TDG
RIG
TRU
TRV
THS
TRCO
TRMB
TRN
TRIP
SYMC
SYF
SNPS
SNV
SYY
DATA
TTWO
TMUS
UBER
UGI
ULTA
ULTI
UMPQ
UAA
UA
UNP
UAL
UPS
URI
USM
X
UTX
UTHR
UNH
UNIT
UNVR
OLED
UHS
UNM
URBN
USB
USFD
VFC
MTN
VLO
VMI
VVV
VAR
VVC
VEEV
VTR
VER
VRSN
VRSK
VZ
VSM
VRTX
VIA
TWLO
TWTR
TWO
TYL
TSN
USG
UBNT
UDR
VMC
WPC
WBC
WAB
WBA
WMT
WM
WAT
WSO
W
WFT
WBS
WEC
WRI
WBT
WCG
WFC
WELL
WCC
WST
WAL
WDC
WU
WLK
WRK
WEX
WY
WHR
WTM
WLL
JW.A
WMB
WSM
WLTW
WTFC
WDAY
WP
WPX
WYND
WH
VIAB
VICI
VIRT
V
VC
VST
VMW
VNO
VOYA
ZAYO
ZBRA
ZEN
ZG
Z
ZBH
ZION
ZTS
ZNGA
WYNN
XEL
XRX
XLNX
XPO
XYL
YUMC
YUM
